"Paymos (Pay with crypto)","Paymos (kripto ile ödeme)"
"Pay with crypto (Paymos)","Kripto ile ödeyin (Paymos)"
"Sandbox (test)","Sandbox (test)"
"Live (production)","Live (canlı)"
"Enabled","Etkin"
"Title","Başlık"
"Name shown to customers on the checkout payment step.","Ödeme adımında müşterilere gösterilen ad."
"Mode","Mod"
"Sandbox uses test credentials; Live takes real payments. Connect Paymos for the selected mode before enabling checkout.","Sandbox test bilgileriyle çalışır; Live gerçek ödeme alır. Ödemeyi etkinleştirmeden önce seçili mod için Paymos'u bağlayın."
"Connection status","Bağlantı durumu"
"New order status","Yeni sipariş durumu"
"Status applied while the customer is paying (before confirmation).","Müşteri ödeme yaparken (onaydan önce) uygulanan durum."
"Paid order status","Ödenmiş sipariş durumu"
"Status applied once Paymos confirms the payment. The order is invoiced and moved to the Processing state.","Paymos ödemeyi onayladığında uygulanan durum. Sipariş faturalandırılır ve İşleniyor durumuna geçer."
"Debug logging","Hata ayıklama günlüğü"
"Write diagnostics to var/log/paymos.log. Leave off in production.","Teşhis bilgilerini var/log/paymos.log dosyasına yazar. Canlı ortamda kapalı tutun."
"Sort order","Sıralama düzeni"
"Processing","İşleniyor"
"Status","Durum"
"Action","İşlem"
"API key","API anahtarı"
"Project","Proje"
"Webhook URL","Webhook URL'si"
"Connected (%1)","Bağlandı (%1)"
"Not configured","Yapılandırılmadı"
"Click Connect Paymos and approve this store in your Paymos dashboard.","Paymos'u bağla'ya tıklayın ve bu mağazayı Paymos Panel'inizde onaylayın."
"Customer is paying via Paymos. Invoice: %1","Müşteri Paymos ile ödüyor. Fatura: %1"
"You will be redirected to Paymos to complete your payment with crypto.","Kripto ile ödemenizi tamamlamak için Paymos'a yönlendirileceksiniz."
"We could not find your order. Please try again.","Siparişinizi bulamadık. Lütfen tekrar deneyin."
"We could not start the crypto payment: %1","Kripto ödemesi başlatılamadı: %1"
"We could not start the crypto payment. Please choose another method.","Kripto ödemesi başlatılamadı. Lütfen başka bir yöntem seçin."
"Place Order","Siparişi Tamamla"
