"Paymos (Pay with crypto)","Paymos（加密货币付款）"
"Pay with crypto (Paymos)","加密货币付款（Paymos）"
"Sandbox (test)","沙盒（测试）"
"Live (production)","正式模式"
"Enabled","已启用"
"Title","标题"
"Name shown to customers on the checkout payment step.","在收银台付款步骤向买家显示的名称。"
"Mode","模式"
"Sandbox uses test credentials; Live takes real payments. Connect Paymos for the selected mode before enabling checkout.","沙盒使用测试密钥，正式模式接收真实付款。启用收银台之前，请为所选模式连接 Paymos。"
"Connection status","连接状态"
"New order status","新订单状态"
"Status applied while the customer is paying (before confirmation).","买家付款期间（确认前）应用的状态。"
"Paid order status","已付款订单状态"
"Status applied once Paymos confirms the payment. The order is invoiced and moved to the Processing state.","Paymos 确认付款后应用的状态。订单将生成账单并进入「处理中」状态。"
"Debug logging","调试日志"
"Write diagnostics to var/log/paymos.log. Leave off in production.","将诊断信息写入 var/log/paymos.log。生产环境请保持关闭。"
"Sort order","排序"
"Processing","处理中"
"Status","状态"
"Action","操作"
"API key","API 密钥"
"Project","项目"
"Webhook URL","Webhook URL"
"Connected (%1)","已连接（%1）"
"Not configured","未配置"
"Click Connect Paymos and approve this store in your Paymos dashboard.","点击「连接 Paymos」，并在 Paymos 控制台中批准本商店。"
"Customer is paying via Paymos. Invoice: %1","买家正在通过 Paymos 付款。账单：%1"
"You will be redirected to Paymos to complete your payment with crypto.","将跳转到 Paymos 完成加密货币付款。"
"We could not find your order. Please try again.","未找到你的订单，请重试。"
"We could not start the crypto payment: %1","无法发起加密货币付款：%1"
"We could not start the crypto payment. Please choose another method.","无法发起加密货币付款，请选择其他支付方式。"
"Place Order","提交订单"
