"Paymos (Pay with crypto)","Paymos (Mit Krypto bezahlen)"
"Pay with crypto (Paymos)","Mit Krypto bezahlen (Paymos)"
"Sandbox (test)","Sandbox (Test)"
"Live (production)","Live (Produktion)"
"Enabled","Aktiviert"
"Title","Titel"
"Name shown to customers on the checkout payment step.","Der Name, den Kunden im Zahlungsschritt des Checkouts sehen."
"Mode","Modus"
"Sandbox uses test credentials; Live takes real payments. Connect Paymos for the selected mode before enabling checkout.","Sandbox nutzt Testzugangsdaten, Live nimmt echte Zahlungen an. Verbinden Sie Paymos für den gewählten Modus, bevor Sie den Checkout aktivieren."
"Connection status","Verbindungsstatus"
"New order status","Status neuer Bestellungen"
"Status applied while the customer is paying (before confirmation).","Status, solange die Kundschaft zahlt (vor der Bestätigung)."
"Paid order status","Status bezahlter Bestellungen"
"Status applied once Paymos confirms the payment. The order is invoiced and moved to the Processing state.","Status, sobald Paymos die Zahlung bestätigt. Die Bestellung wird fakturiert und in den Zustand „Processing“ überführt."
"Debug logging","Diagnoseprotokoll"
"Write diagnostics to var/log/paymos.log. Leave off in production.","Schreibt Diagnosedaten nach var/log/paymos.log. Im Produktivbetrieb ausgeschaltet lassen."
"Sort order","Sortierreihenfolge"
"Processing","In Bearbeitung"
"Status","Status"
"Action","Aktion"
"API key","API-Schlüssel"
"Project","Projekt"
"Webhook URL","Webhook-URL"
"Connected (%1)","Verbunden (%1)"
"Not configured","Nicht eingerichtet"
"Click Connect Paymos and approve this store in your Paymos dashboard.","Klicken Sie auf Connect Paymos und bestätigen Sie diesen Shop in Ihrem Paymos Dashboard."
"Customer is paying via Paymos. Invoice: %1","Die Kundschaft zahlt über Paymos. Rechnung: %1"
"You will be redirected to Paymos to complete your payment with crypto.","Sie werden zu Paymos weitergeleitet, um Ihre Zahlung mit Krypto abzuschließen."
"We could not find your order. Please try again.","Ihre Bestellung wurde nicht gefunden. Bitte versuchen Sie es erneut."
"We could not start the crypto payment: %1","Die Krypto-Zahlung konnte nicht gestartet werden: %1"
"We could not start the crypto payment. Please choose another method.","Die Krypto-Zahlung konnte nicht gestartet werden. Bitte wählen Sie eine andere Zahlungsart."
"Place Order","Bestellung aufgeben"
