"Paymos (Pay with crypto)","Paymos (pagar con cripto)"
"Pay with crypto (Paymos)","Pagar con cripto (Paymos)"
"Sandbox (test)","Sandbox (prueba)"
"Live (production)","Live (producción)"
"Enabled","Activado"
"Title","Título"
"Name shown to customers on the checkout payment step.","Nombre que ven los clientes en el paso de pago."
"Mode","Modo"
"Sandbox uses test credentials; Live takes real payments. Connect Paymos for the selected mode before enabling checkout.","Sandbox usa credenciales de prueba; Live cobra de verdad. Conecta Paymos en el modo elegido antes de activar el pago."
"Connection status","Estado de la conexión"
"New order status","Estado de los pedidos nuevos"
"Status applied while the customer is paying (before confirmation).","Estado mientras el cliente paga, antes de la confirmación."
"Paid order status","Estado de los pedidos pagados"
"Status applied once Paymos confirms the payment. The order is invoiced and moved to the Processing state.","Estado en cuanto Paymos confirma el pago. El pedido se factura y pasa al estado Processing."
"Debug logging","Registro de diagnóstico"
"Write diagnostics to var/log/paymos.log. Leave off in production.","Escribe diagnósticos en var/log/paymos.log. Déjalo desactivado en producción."
"Sort order","Orden"
"Processing","En proceso"
"Status","Estado"
"Action","Acción"
"API key","Clave de API"
"Project","Proyecto"
"Webhook URL","URL del webhook"
"Connected (%1)","Conectado (%1)"
"Not configured","Sin configurar"
"Click Connect Paymos and approve this store in your Paymos dashboard.","Pulsa Connect Paymos y aprueba esta tienda en tu panel de Paymos."
"Customer is paying via Paymos. Invoice: %1","El cliente está pagando con Paymos. Factura: %1"
"You will be redirected to Paymos to complete your payment with crypto.","Te llevaremos a Paymos para completar tu pago con cripto."
"We could not find your order. Please try again.","No encontramos tu pedido. Inténtalo de nuevo."
"We could not start the crypto payment: %1","No pudimos iniciar el pago con cripto: %1"
"We could not start the crypto payment. Please choose another method.","No pudimos iniciar el pago con cripto. Elige otro método."
"Place Order","Confirmar pedido"
